year,month,lat,lng,probability
0,0,17,323,1.00000
0,2,17,310,0.11111
0,2,17,311,0.03704
0,2,18,309,0.29630
0,2,18,310,0.55556
0,4,18,300,0.01646
0,4,18,301,0.05614
0,4,18,302,0.08882
0,4,18,306,0.00654
0,4,19,300,0.01646
0,4,19,301,0.05614
0,4,19,302,0.02505
0,4,19,303,0.06474
0,4,19,304,0.00617
0,4,19,305,0.02300
0,4,19,308,0.02058
0,4,20,300,0.01646
0,4,20,301,0.05614
0,4,20,302,0.06474
0,4,20,306,0.05614
0,4,20,307,0.04828
0,4,20,308,0.00206
0,4,21,300,0.01646
0,4,21,301,0.05614
0,4,21,303,0.05614
0,4,21,305,0.01307
0,4,21,306,0.03968
0,4,21,307,0.00654
0,4,21,310,0.03968
0,4,22,303,0.03968
0,4,22,306,0.00654
0,4,22,307,0.00654
0,4,22,310,0.03968
0,4,23,306,0.00654
0,4,23,310,0.01646
0,4,23,311,0.01646
0,4,23,312,0.01646
0,6,15,301,0.00031
0,6,16,300,0.00093
0,6,18,297,0.00440
0,6,18,298,0.00066
0,6,18,299,0.01647
0,6,18,303,0.00249
0,6,18,304,0.00204
0,6,19,293,0.00103
0,6,19,294,0.00103
0,6,19,295,0.00476
0,6,19,296,0.00476
0,6,19,297,0.04490
0,6,19,298,0.00534
0,6,19,299,0.00778
0,6,19,300,0.00093
0,6,19,301,0.00430
0,6,19,302,0.01433
0,6,19,303,0.00076
0,6,19,304,0.00238
0,6,20,286,0.00103
0,6,20,287,0.00103
0,6,20,290,0.00204
0,6,20,291,0.01455
0,6,20,292,0.00195
0,6,20,293,0.00702
0,6,20,294,0.04407
0,6,20,295,0.00434
0,6,20,296,0.00624
0,6,20,297,0.00248
0,6,20,298,0.00693
0,6,20,299,0.01022
0,6,20,300,0.02795
0,6,20,301,0.02083
0,6,20,302,0.01061
0,6,20,303,0.00247
0,6,20,304,0.03517
0,6,20,308,0.02232
0,6,20,309,0.00248
0,6,20,310,0.00118
0,6,21,284,0.00103
0,6,21,285,0.00103
0,6,21,286,0.00103
0,6,21,289,0.00476
0,6,21,290,0.00146
0,6,21,291,0.00231
0,6,21,292,0.00182
0,6,21,293,0.01007
0,6,21,294,0.00193
0,6,21,295,0.00104
0,6,21,296,0.00046
0,6,21,297,0.00081
0,6,21,298,0.01132
0,6,21,299,0.01181
0,6,21,300,0.00795
0,6,21,301,0.00507
0,6,21,302,0.03555
0,6,21,303,0.01549
0,6,21,304,0.00536
0,6,21,305,0.00280
0,6,21,306,0.00540
0,6,21,307,0.01944
0,6,21,308,0.00326
0,6,21,310,0.00118
0,6,22,284,0.00103
0,6,22,291,0.00231
0,6,22,292,0.00231
0,6,22,293,0.02072
0,6,22,294,0.01259
0,6,22,295,0.00523
0,6,22,296,0.00661
0,6,22,297,0.00666
0,6,22,298,0.00739
0,6,22,299,0.01133
0,6,22,300,0.00687
0,6,22,301,0.00607
0,6,22,302,0.01700
0,6,22,303,0.03974
0,6,22,304,0.02054
0,6,22,305,0.00692
0,6,22,306,0.00253
0,6,22,307,0.00303
0,6,22,308,0.01888
0,6,22,309,0.00096
0,6,22,310,0.00114
0,6,23,289,0.00478
0,6,23,290,0.00621
0,6,23,291,0.00564
0,6,23,292,0.00283
0,6,23,293,0.00509
0,6,23,294,0.00881
0,6,23,295,0.01167
0,6,23,296,0.00308
0,6,23,297,0.00531
0,6,23,298,0.02183
0,6,23,299,0.01017
0,6,23,300,0.00618
0,6,23,301,0.00369
0,6,23,302,0.00900
0,6,23,303,0.00609
0,6,23,304,0.00386
0,6,23,305,0.00192
0,6,23,306,0.00038
0,6,23,307,0.00254
0,6,23,308,0.00786
0,6,23,309,0.00659
0,6,23,310,0.00414
0,6,23,311,0.00150
0,6,24,289,0.00375
0,6,24,290,0.00476
0,6,24,292,0.00183
0,6,24,293,0.00111
0,6,24,294,0.00555
0,6,24,295,0.00547
0,6,24,296,0.00259
0,6,24,297,0.00031
0,6,24,298,0.00578
0,6,24,299,0.00335
0,6,24,300,0.00081
0,6,24,301,0.00351
0,6,24,302,0.00071
0,6,24,303,0.00735
0,6,24,304,0.00028
0,6,24,305,0.00211
0,6,24,308,0.00093
0,6,25,293,0.00200
0,6,25,294,0.00343
0,6,25,295,0.00283
0,6,25,296,0.00379
0,6,25,297,0.00150
0,6,25,298,0.00259
0,6,25,300,0.00269
0,6,25,301,0.02965
0,6,25,302,0.00287
0,6,25,303,0.00207
0,6,25,304,0.00420
0,6,25,305,0.00118
0,6,25,307,0.00130
0,6,25,311,0.00257
0,6,26,297,0.00070
0,6,26,298,0.00193
0,6,26,301,0.00038
0,6,26,302,0.00839
0,6,26,303,0.00044
0,6,26,304,0.00281
0,6,26,311,0.00248
0,6,26,312,0.00602
0,6,27,297,0.00042
0,6,27,298,0.00042
0,6,27,299,0.00042
0,6,27,301,0.00280
0,6,27,302,0.00489
0,6,27,305,0.00193
0,6,27,306,0.00267
0,6,27,312,0.00150
0,6,27,313,0.00267
0,6,28,297,0.00042
0,6,28,302,0.00042
0,6,28,303,0.00042
0,6,28,304,0.00150
0,6,28,306,0.00150
0,6,29,304,0.00299
0,6,29,305,0.00299
0,8,15,299,0.00066
0,8,16,299,0.00118
0,8,16,300,0.00120
0,8,17,288,0.00303
0,8,17,289,0.00245
0,8,17,290,0.00085
0,8,17,291,0.00154
0,8,17,300,0.00084
0,8,17,301,0.00064
0,8,18,289,0.00270
0,8,18,290,0.00026
0,8,18,291,0.00154
0,8,18,292,0.00226
0,8,18,298,0.00523
0,8,18,299,0.00324
0,8,18,300,0.01514
0,8,18,301,0.00070
0,8,18,302,0.00073
0,8,18,303,0.00045
0,8,18,304,0.00049
0,8,19,291,0.00629
0,8,19,292,0.00454
0,8,19,293,0.00426
0,8,19,294,0.00150
0,8,19,295,0.00185
0,8,19,296,0.00301
0,8,19,297,0.00816
0,8,19,298,0.01267
0,8,19,299,0.00261
0,8,19,300,0.00413
