year,month,lat,lng,probability
0,0,47,154,1.00000
0,2,42,156,0.07407
0,2,44,154,0.33333
0,2,45,157,0.48148
0,2,46,157,0.11111
0,4,42,161,0.01852
0,4,42,162,0.01852
0,4,42,163,0.01852
0,4,43,161,0.01852
0,4,44,158,0.08333
0,4,44,159,0.08333
0,4,44,160,0.08333
0,4,44,161,0.08333
0,4,45,158,0.15158
0,4,45,160,0.30316
0,4,46,160,0.00892
0,4,46,161,0.00892
0,4,46,162,0.00892
0,4,47,155,0.11111
0,6,42,165,0.00265
0,6,42,166,0.00463
0,6,42,167,0.00728
0,6,42,169,0.00728
0,6,43,165,0.00882
0,6,43,169,0.00265
0,6,44,156,0.05556
0,6,44,163,0.04863
0,6,44,164,0.00882
0,6,45,156,0.05556
0,6,45,158,0.15158
0,6,45,163,0.00223
0,6,45,166,0.04444
0,6,45,167,0.05000
0,6,46,162,0.02778
0,6,46,163,0.02778
0,6,46,164,0.07167
0,6,46,165,0.07167
0,6,46,166,0.02778
0,6,48,164,0.32322
0,8,40,174,0.00081
0,8,40,175,0.00081
0,8,40,176,0.00081
0,8,41,177,0.00104
0,8,41,178,0.00185
0,8,42,164,0.00220
0,8,42,165,0.01208
0,8,42,166,0.01208
0,8,42,167,0.00551
0,8,42,168,0.00567
0,8,42,169,0.00978
0,8,42,170,0.00551
0,8,43,159,0.00926
0,8,43,160,0.00926
0,8,43,161,0.01852
0,8,43,162,0.00926
0,8,43,163,0.01061
0,8,43,164,0.00288
0,8,43,165,0.01550
0,8,43,166,0.00984
0,8,43,167,0.02426
0,8,43,168,0.01849
0,8,43,169,0.01347
0,8,43,170,0.00809
0,8,43,171,0.00925
0,8,43,174,0.00256
0,8,44,157,0.00926
0,8,44,158,0.00926
0,8,44,159,0.01852
0,8,44,160,0.00926
0,8,44,161,0.00926
0,8,44,163,0.00088
0,8,44,164,0.00141
0,8,44,166,0.01615
0,8,44,167,0.01380
0,8,44,168,0.00809
0,8,44,169,0.01749
0,8,44,170,0.00529
0,8,44,171,0.05339
0,8,44,172,0.05999
0,8,44,173,0.00258
0,8,44,174,0.00339
0,8,44,175,0.00721
0,8,44,176,0.00278
0,8,44,177,0.00556
0,8,44,178,0.00278
0,8,44,179,0.00278
0,8,45,158,0.01516
0,8,45,159,0.01516
0,8,45,161,0.02442
0,8,45,164,0.00679
0,8,45,165,0.02334
0,8,45,166,0.02323
