year,month,lat,lng,probability
0,0,56,331,1.00000
0,2,58,334,0.22857
0,2,58,335,0.14286
0,2,58,336,0.08571
0,2,58,342,0.45714
0,2,58,343,0.08571
0,4,55,331,0.01633
0,4,55,332,0.02182
0,4,56,332,0.00978
0,4,56,333,0.02611
0,4,56,334,0.01633
0,4,56,335,0.00978
0,4,56,336,0.02611
0,4,56,338,0.00549
0,4,56,339,0.02061
0,4,56,340,0.01633
0,4,57,332,0.00978
0,4,57,336,0.00429
0,4,57,337,0.02611
0,4,57,338,0.00549
0,4,57,339,0.00978
0,4,57,340,0.00549
0,4,57,342,0.01071
0,4,57,343,0.02214
0,4,58,329,0.00549
0,4,58,330,0.02611
0,4,58,331,0.00549
0,4,58,338,0.00429
0,4,58,339,0.00429
0,4,58,340,0.02611
0,4,58,341,0.00549
0,4,58,342,0.01071
0,4,58,343,0.02214
0,4,58,351,0.04571
0,4,58,352,0.01143
0,4,59,342,0.01143
0,4,59,343,0.09143
0,4,59,344,0.09071
0,4,59,345,0.00978
0,4,59,352,0.20500
0,4,59,353,0.01071
0,4,60,329,0.01633
0,4,60,330,0.01633
0,4,60,340,0.00549
0,4,60,341,0.00549
0,4,60,343,0.00549
0,4,61,340,0.00549
0,4,61,341,0.01407
0,4,61,342,0.02182
0,4,61,343,0.00429
0,4,61,344,0.00549
0,4,61,358,0.01071
0,4,63,352,0.02182
0,4,63,353,0.01835
0,6,52,335,0.00061
0,6,52,336,0.00061
0,6,53,330,0.00314
0,6,53,331,0.00096
0,6,53,339,0.00097
0,6,54,330,0.00096
0,6,54,331,0.00477
0,6,54,332,0.00314
0,6,54,339,0.00327
0,6,54,340,0.00327
0,6,55,326,0.00073
0,6,55,331,0.00114
0,6,55,334,0.00361
0,6,55,335,0.00289
0,6,55,336,0.00117
0,6,55,339,0.00213
0,6,55,340,0.00745
0,6,55,341,0.00229
0,6,55,344,0.00097
0,6,56,327,0.00073
0,6,56,328,0.00073
0,6,56,330,0.00120
0,6,56,331,0.00120
0,6,56,334,0.00336
0,6,56,335,0.00246
0,6,56,336,0.00366
0,6,56,339,0.00229
0,6,56,340,0.00280
0,6,56,341,0.00996
0,6,56,342,0.00706
0,6,56,345,0.00538
0,6,56,347,0.00041
0,6,57,327,0.00059
0,6,57,328,0.00120
0,6,57,330,0.00061
0,6,57,331,0.00358
0,6,57,333,0.01161
0,6,57,334,0.00472
0,6,57,335,0.00532
0,6,57,336,0.00785
0,6,57,337,0.01188
0,6,57,338,0.01289
0,6,57,339,0.00061
0,6,57,341,0.00061
0,6,57,343,0.00282
0,6,57,344,0.00800
0,6,57,345,0.01433
0,6,58,0,0.02286
0,6,58,327,0.00073
0,6,58,330,0.01485
0,6,58,331,0.00059
0,6,58,333,0.00146
0,6,58,335,0.02188
0,6,58,336,0.00810
0,6,58,337,0.00507
0,6,58,338,0.00985
0,6,58,339,0.00870
0,6,58,340,0.00113
0,6,58,341,0.00405
0,6,58,342,0.00080
0,6,58,343,0.00372
0,6,58,344,0.00927
0,6,58,358,0.02667
0,6,58,359,0.05506
0,6,59,0,0.05863
0,6,59,325,0.00073
0,6,59,333,0.00041
0,6,59,334,0.00051
0,6,59,335,0.00580
0,6,59,336,0.00781
0,6,59,337,0.00181
0,6,59,338,0.00539
0,6,59,339,0.00420
0,6,59,340,0.00098
0,6,59,341,0.00765
0,6,59,342,0.01693
0,6,59,343,0.00646
0,6,59,344,0.00768
0,6,59,345,0.01918
0,6,59,346,0.03463
0,6,59,347,0.00441
0,6,59,348,0.01002
0,6,59,349,0.02738
0,6,59,350,0.01296
0,6,59,351,0.02279
0,6,60,0,0.05482
0,6,60,1,0.05482
0,6,60,325,0.00334
0,6,60,326,0.00069
0,6,60,330,0.00059
0,6,60,331,0.00073
0,6,60,334,0.00039
0,6,60,335,0.00068
0,6,60,338,0.00056
0,6,60,339,0.00411
0,6,60,340,0.00045
0,6,60,341,0.00095
0,6,60,342,0.00188
0,6,60,343,0.00708
0,6,60,344,0.00350
0,6,60,345,0.00079
0,6,60,346,0.00201
0,6,60,349,0.00065
0,6,60,350,0.00065
0,6,60,351,0.02123
0,6,60,352,0.02344
0,6,60,353,0.00221
0,6,60,357,0.00141
0,6,61,330,0.00051
0,6,61,331,0.00320
0,6,61,333,0.00073
0,6,61,334,0.00149
0,6,61,335,0.00029
0,6,61,337,0.00095
0,6,61,338,0.00174
0,6,61,339,0.00056
0,6,61,340,0.00252
0,6,61,341,0.00212
0,6,61,342,0.00934
0,6,61,343,0.01172
0,6,61,344,0.00689
0,6,61,347,0.00119
0,6,61,348,0.02130
0,6,61,349,0.00148
0,6,61,350,0.00122
0,6,61,352,0.02123
0,6,61,354,0.00141
0,6,61,355,0.00069
0,6,61,357,0.00141
0,6,62,326,0.00051
0,6,62,331,0.00136
0,6,62,332,0.00065
0,6,62,334,0.00479
0,6,62,335,0.00710
0,6,62,336,0.00051
0,6,62,342,0.00029
0,6,62,344,0.00311
0,6,62,346,0.00108
0,6,62,351,0.00141
0,6,62,352,0.00843
0,6,62,353,0.00065
0,6,62,354,0.00069
0,6,62,355,0.00069
0,6,62,358,0.00256
0,6,62,359,0.00256
0,6,63,0,0.00115
0,6,63,6,0.01012
0,6,63,322,0.00051
0,6,63,324,0.00071
0,6,63,327,0.00071
0,6,63,328,0.00122
0,6,63,329,0.00051
0,6,63,330,0.00550
0,6,63,331,0.00071
0,6,63,335,0.00071
0,6,63,345,0.00069
0,6,63,346,0.00251
0,6,63,351,0.00141
0,6,63,353,0.00145
0,6,63,354,0.00148
0,6,64,0,0.00256
0,6,64,5,0.00060
0,6,64,324,0.00071
0,6,64,325,0.00071
0,6,64,330,0.00122
0,6,64,331,0.00122
0,6,64,347,0.00039
0,6,64,348,0.00039
0,6,64,351,0.00079
0,6,64,352,0.00050
0,6,64,353,0.00050
0,6,64,356,0.00141
0,6,64,357,0.00141
0,6,64,359,0.00141
0,6,65,4,0.00115
0,6,65,5,0.01634
0,8,52,335,0.00046
0,8,52,336,0.00030
0,8,52,339,0.00084
0,8,52,344,0.00176
0,8,53,330,0.00066
0,8,53,334,0.00037
0,8,53,335,0.00062
0,8,53,336,0.00097
0,8,53,337,0.00031
0,8,53,338,0.00026
0,8,53,339,0.00029
0,8,53,340,0.00086
0,8,53,341,0.00247
0,8,53,342,0.00174
0,8,53,343,0.00176
0,8,53,344,0.00090
0,8,54,330,0.00064
0,8,54,331,0.00058
0,8,54,332,0.00030
0,8,54,333,0.00058
0,8,54,334,0.00029
0,8,54,340,0.00035
0,8,54,341,0.00062
0,8,54,343,0.00151
0,8,54,344,0.00145
0,8,54,345,0.00054
0,8,54,350,0.00056
0,8,55,333,0.00042
0,8,55,336,0.00033
0,8,55,337,0.00070
0,8,55,338,0.00057
0,8,55,339,0.00048
0,8,55,340,0.00049
0,8,55,341,0.00068
0,8,55,342,0.00200
0,8,55,343,0.00286
0,8,55,344,0.00141
0,8,55,347,0.00077
0,8,55,348,0.00086
0,8,55,349,0.00050
0,8,55,350,0.00066
0,8,56,329,0.00212
0,8,56,330,0.00159
0,8,56,333,0.00049
0,8,56,334,0.00055
0,8,56,335,0.00080
0,8,56,336,0.00235
0,8,56,337,0.00210
0,8,56,338,0.00157
